label	abbr	continent
African Ancestry in SW USA	ASW	AFR
African Caribbean in Barbados	ACB	AFR
Bengali in Bangladesh	BEB	SAS
British From England and Scotland	GBR	EUR
Chinese Dai in Xishuangbanna, China	CDX	EUR
Colombian in Medellín, Colombia	CLM	AMR
Esan in Nigeria	ESN	AFR
Finnish in Finland	FIN	EUR
Gambian in Western Division – Mandinka	GWD	AFR
Gujarati Indians in Houston, Texas, USA	GIH	SAS
Han Chinese in Beijing, China	CHB	EAS
Han Chinese South	CHS	EAS
Iberian Populations in Spain	IBS	EUR
Indian Telugu in the U.K.	ITU	EUR
Japanese in Tokyo, Japan	JPT	EAS
Kinh in Ho Chi Minh City, Vietnam	KHV	EAS
Luhya in Webuye, Kenya	LWK	AFR
Mende in Sierra Leone	MSL	AFR
Mexican Ancestry in Los Angeles CA USA	MXL	AMR
Peruvian in Lima Peru	PEL	AMR
Puerto Rican in Puerto Rico	PUR	AMR
Punjabi in Lahore, Pakistan	PJL	SAS
Sri Lankan Tamil in the UK	STU	SAS
Toscani in Italia	TSI	EUR
Yoruba in Ibadan, Nigeria	YRI	AFR